,Date,Data,0.5
977,2023-09-25,677786.0,
978,2023-10-02,1404225.0,
979,2023-10-09,2110057.0,
980,2023-10-16,2628679.0,
981,2023-10-23,2051019.0,
982,2023-10-30,2183373.0,
983,2023-11-06,1940079.0,
984,2023-11-13,1631531.0,
985,2023-11-20,1573289.0,
986,2023-11-27,1173257.0,
987,2023-12-04,999790.0,
988,2023-12-11,1425012.0,
989,2023-12-18,1117747.0,
990,2023-12-25,969454.0,
991,2024-01-01,1040628.0,
992,2024-01-08,1278168.0,
993,2024-01-15,1184956.0,
994,2024-01-22,913448.0,
995,2024-01-29,1750621.0,
996,2024-02-05,1342086.0,
997,2024-02-12,1291412.0,
998,2024-02-19,1059053.0,
999,2024-02-26,1160392.0,
1000,2024-03-04,784853.0,
1001,2024-03-11,700245.0,
1002,2024-03-18,785116.0,
1003,2024-03-25,547351.0,
1004,2024-04-01,491872.0,
1005,2024-04-08,446570.0,
1006,2024-04-15,443508.0,
1007,2024-04-22,276092.0,
1008,2024-04-29,358082.0,
1009,2024-05-06,433068.0,
1010,2024-05-13,184128.0,
1011,2024-05-20,221997.0,
1012,2024-05-27,361217.0,
1013,2024-06-03,234061.0,
1014,2024-06-10,341170.0,
1015,2024-06-17,349884.0,
1016,2024-06-24,319828.0,
1017,2024-07-01,294209.0,
1018,2024-07-08,175327.0,
1019,2024-07-15,338255.0,
1020,2024-07-22,408582.0,
1021,2024-07-29,266883.0,
1022,2024-08-05,349636.0,
1023,2024-08-12,405628.0,
1024,2024-08-19,419563.0,
1025,2024-08-26,502444.0,
1026,2024-09-02,365003.0,
1027,2024-09-09,473276.0,
1028,2024-09-16,498586.0,
1029,2024-09-23,682852.0,
1030,2024-09-30,1625183.0,
1031,2024-10-07,1907464.0,
1032,2024-10-14,2548585.0,
1033,2024-10-21,2628439.0,
1034,2024-10-28,2158646.0,
1035,2024-11-04,2363141.0,
1036,2024-11-11,2165075.0,
0,2024-11-25,,2216160.9239071608
1,2024-12-02,,2231309.6723109484
2,2024-12-09,,2361686.1079335213
3,2024-12-16,,2483800.8569031954
4,2024-12-23,,2595765.9392803907
5,2024-12-30,,2637646.5737104416
6,2025-01-06,,2704852.723327279
7,2025-01-13,,2815075.3925025463
8,2025-01-20,,2936626.4575093985
9,2025-01-27,,2986518.424451351
10,2025-02-03,,3132022.186422348
11,2025-02-10,,3220081.545498967
12,2025-02-17,,3271456.021910906
13,2025-02-24,,3365666.0918474197
14,2025-03-03,,3546256.599533558
15,2025-03-10,,3674165.1111394167
16,2025-03-17,,3774629.64695096
17,2025-03-24,,3800401.153844595
18,2025-03-31,,3929919.932961464
19,2025-04-07,,4029725.805094838
20,2025-04-14,,4178933.5178673267
21,2025-04-21,,4305086.711418629
22,2025-04-28,,4447381.810832024
23,2025-05-05,,4535652.035200596
24,2025-05-12,,4668009.365701675
25,2025-05-19,,4806357.644987106
26,2025-05-26,,5000088.906008005
27,2025-06-02,,5279540.3925180435
28,2025-06-09,,5525036.114597321
29,2025-06-16,,5709570.345246792
